Product Name,Price,Discount,Battery,Display,Ratings,Reviews,Camera,Actual Price,Processor,RAM,ROM,brand,type
"vivo Y18i (Gem Green, 64 GB)",7999.0,33.0,5000 mAh Battery,16.66 cm (6.56 Inch) Display,1993.0,57.0,13MP + 0.08MP | 5MP Front Camera,11999.0,UNISCO T616 Processor,4.0,64.0,vivo,Android
"vivo Y36 (Meteor Black, 128 GB)",14999.0,31.0,5000 mAh Battery,16.87 cm (6.64 inch) Full HD+ Display,1369.0,64.0,50MP + 2MP | 16MP Front Camera,21999.0,Snapdragon 680 Processor,8.0,128.0,vivo,Android
"vivo T3x 5G (Sapphire Blue, 128 GB)",12499.0,28.0,6000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,51490.0,2043.0,50MP + 2MP | 8MP Front Camera,17499.0,6 Gen 1 Processor,4.0,128.0,vivo,Android
"vivo T3 Pro 5G (Sandstone Orange, 256 GB)",24999.0,21.0,5500 mAh Battery,17.2 cm (6.77 inch) Full HD+ AMOLED Display,48590.0,3354.0,50MP + 8MP | 16MP Front Camera,31999.0,Snapdragon 7 Gen 3 Processor,8.0,256.0,vivo,Android
"vivo T3 Ultra (Frost Green, 256 GB)",33999.0,15.0,5500 mAh Battery,17.22 cm (6.78 inch) Display,5996.0,508.0,50MP + 8MP | 50MP Front Camera,39999.0,Dimensity 9200+ Processor,12.0,256.0,vivo,Android
"vivo V50 5G (Rose Red, 128 GB)",34999.0,12.0,6000 mAh Battery,17.2 cm (6.77 inch) Display,454.0,60.0,50MP + 50MP | 50MP Front Camera,39999.0,7 Gen 3 Processor,8.0,128.0,vivo,Android
"vivo Y300 5G (Phantom Purple, 256 GB)",23999.0,17.0,5000 mAh Battery,16.94 cm (6.67 inch) Display,1401.0,86.0,50MP + 2MP | 32MP Front Camera,28999.0,4 Gen 2 Processor,8.0,256.0,vivo,Android
"vivo Y29 5G (Diamond Black, 256 GB)",18999.0,26.0,5500 mAh Battery,16.97 cm (6.68 inch) Display,315.0,17.0,50MP + 0.08MP | 8MP Front Camera,25999.0,Dimensity 6300 Processor,8.0,256.0,vivo,Android
"vivo T3 5G (Crystal Flake, 256 GB)",20499.0,18.0,5000 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,107344.0,6877.0,50MP + 2MP | 16MP Front Camera,24999.0,Dimensity 7200 Processor,8.0,256.0,vivo,Android
"vivo T3 Ultra (Frost Green, 128 GB)",29999.0,16.0,5500 mAh Battery,17.22 cm (6.78 inch) Display,12260.0,1092.0,50MP + 8MP | 50MP Front Camera,35999.0,Dimensity 9200+ Processor,8.0,128.0,vivo,Android
